Abibe	5
Abida	10
Abide	5
Ada	345
Ada Marija	..
Adalberta	10
Adea	7
Adeja	5
Adela	431
Adela Marija	5
Adelaida	7
Adelajda	10
Adele	14
Adelhajda	..
Adelheid	7
Adelija	11
Adelina	149
Adelisa	71
Adelita	11
Adelja	6
Adema	8
Adevija	13
Adica	8
Adila	40
Adile	12
Adina	20
Adisa	174
Admira	106
Adna	115
Adnana	22
Adolfa	8
Adolfina	20
Adriana	319
Adrijana	920
Advija	25
Advije	8
Aferdita	51
Afërdita	5
Afrdita	8
Afrodita	20
Aga	10
Agata	478
Age	..
Agica	65
Aglaja	6
Agna	5
Agnes	69
Ágnes	5
Agnesa	42
Agnese	..
Agneš	5
Agneta	5
Agneza	38
Aicha	6
Aida	450
Aiken	7
Aila	..
Ailin	5
Aina	10
Aisa	6
Aisha	39
Aiša	89
Aja	133
Ajda	2383
Ajda Ana	5
Ajdina	10
Ajete	6
Ajiša	54
Ajiše	10
Ajka	70
Ajko	8
Ajla	367
Ajlin	26
Ajlina	5
Ajna	141
Ajnija	5
Ajra	8
Ajrija	..
Ajsela	11
Ajsha	9
Ajshe	32
Ajša	219
Ajše	6
Ala	7
Alana	13
Alanis	5
Alanka	5
Alba	14
Albana	22
Albane	6
Alberta	70
Albertina	9
Albesa	8
Albina	2023
Albina Marija	13
Albina Zorka	..
Albinca	34
Albiona	19
Albulena	35
Alda	66
Aldiana	8
Aldijana	108
Aldina	87
Alea	23
Aleja	13
Alejna	17
Aleks	5
Aleksa	7
Aleksandra	4090
Aleksandra Marija	7
Aleksandra Saša	22
Aleksandrija	5
Alekseja	48
Aleksija	23
Alema	18
Alena	89
Alenčica	86
Alenka	7802
Alenka Helena	9
Alenka Marija	21
Alesia	10
Alessandra	22
Alessia	23
Aleša	179
Aleška	36
Alex	15
Alexa	..
Alexandra	78
Alexia	16
Alia	7
Aliana	10
Alica	26
Alice	31
Alicia	7
Alicija	5
Aliče	12
Alida	59
Alija	39
Alijana	64
Alije	32
Alijja	5
Alin	47
Alina	724
Alis	9
Alisa	268
Alisha	7
Alison	28
Alissa	8
Ališa	20
Alja	1763
Aljana	63
Aljaša	8
Aljonka	5
Aljoša	76
Aljoška	14
Alla	28
Allegra	6
Alma	935
Alma Marija	6
Almasa	10
Almaze	6
Almedina	81
Almina	55
Almira	338
Alojzija	4500
Alojzija Ana	6
Alojzija Frančiška	5
Alojzija Marija	14
Alojzija Slava	7
Alojzija Slavica	13
Alojzija Slavka	16
Alojzija Stanislava	5
Alona	9
Altina	27
Alvina	6
Alvira	6
Alya	20
Amadea	46
Amadeja	335
Amaja	6
Amajla	7
Amalia	18
Amalija	1808
Amalija Ana	..
Amalija Ljubica	5
Amalija Marija	8
Amanda	234
Amani	6
Amaya	12
Amber	10
Ambra	..
Amedea	11
Amedeja	10
Amela	434
Ameli	19
Amelia	26
Amelie	29
Amelija	45
Amerisa	6
Amila	67
Amina	245
Amira	185
Amire	6
Amna	49
Amra	291
Amy	12
Ana	26829
Ana Aleksandra	5
Ana Alojzija	6
Ana Amalija	5
Ana Anita	9
Ana Antonija	10
Ana Barbara	7
Ana Elizabeta	9
Ana Eva	7
Ana Frančiška	10
Ana Gabrijela	5
Ana Helena	6
Ana Ivana	21
Ana Jožefa	13
Ana Julija	15
Ana Julijana	5
Ana Justina	..
Ana Karolina	7
Ana Katarina	37
Ana Klara	6
Ana Kristina	20
Ana Laura	8
Ana Lea	5
Ana Lina	22
Ana Ljudmila	..
Ana Lucia	5
Ana Lucija	26
Ana Maja	5
Ana Mari	44
Ana Maria	51
Ana Marie	21
Ana Marija	1192
Ana Marjeta	18
Ana Marta	11
Ana Martina	8
Ana Milena	7
Ana Nada	..
Ana Neža	6
Ana Nuša	39
Ana Nuška	5
Ana Pavla	10
Ana Pia	11
Ana Roza	7
Ana Sofija	6
Ana Stanislava	5
Ana Štefanija	6
Ana Terezija	15
Ana Tia	5
Ana Vera	..
Ana Veronika	7
Ana Vida	7
Ana Vita	16
Ana Zala	..
Ana Zofija	..
Anabel	33
Anabela	58
