Aaron	24
Abaz	34
Abdija	21
Abdo	5
Abdula	11
Abdulah	91
Abdullah	17
Abdurahman	20
Abdurrahman	9
Abedin	29
Abel	25
Abid	35
Abidin	7
Abit	6
Aca	13
Ace	7
Aco	65
Adalbert	24
Adam	763
Adan	11
Adel	142
Adem	315
Ademir	20
Aden	5
Adi	106
Adian	77
Adijan	45
Adil	135
Adin	238
Adis	539
Admin	13
Admir	658
Adnan	739
Adnel	12
Adnen	10
Ado	23
Adolf	673
Adonis	13
Adrian	327
Adriano	67
Adriatik	12
Adrijan	254
Adrijano	43
Advan	13
Adyan	6
Afan	5
Afet	8
Afrim	96
Agan	58
Agim	129
Ago	17
Agon	15
Agron	92
Ahac	37
Ahil	5
Ahmad	10
Ahmed	124
Ahmedin	8
Ahmet	326
Ahmo	47
Aid	61
Aidan	12
Aidin	9
Ailan	5
Aiman	6
Ajan	65
Ajas	22
Ajdan	9
Ajdin	374
Ajet	35
Ajhan	12
Ajiz	12
Ajlan	50
Ajman	12
Ajnur	49
Aki	5
Akif	20
Akija	5
Akil	7
Akim	7
Aksel	12
Al	15
Aladar	10
Aladin	93
Alaga	52
Alain	42
Alajdin	5
Alan	593
Alban	57
Albatrit	6
Albert	699
Alberto	32
Albi	6
Albian	5
Albijon	-
Albin	1598
Albino	8
Albion	47
Albrim	10
Alden	7
Aldi	6
Aldian	5
Aldijan	12
Aldin	399
Aldino	-
Aldion	5
Aldis	7
Aldo	178
Ale	74
Alec	7
Alej	13
Alejandro	8
Alek	47
Aleks	1640
Aleksa	142
Aleksandar	1697
Aleksander	5468
Aleksander Sandi	6
Aleksander Saša	14
Aleksander Sašo	17
Aleksandr	51
Aleksandro	7
Aleksei	37
Aleksej	610
Aleksey	6
Aleksij	35
Aleksije	-
Alem	117
Alen	3918
Ales	-
Alessandro	76
Alessio	9
Aleš	10457
Alex	866
Alexandar	-
Alexander	251
Alexandr	17
Alexandru	10
Alexei	27
Alexej	8
Alexey	53
Alexis	6
Alfio	-
Alfons	-
Alfonz	179
Alfred	181
Alfredo	11
Ali	253
Alian	6
Alija	255
Alil	7
Alim	14
Alin	30
Alis	38
Alit	6
Aljan	10
Aljaš	11
Aljaž	5299
Alji	-
Aljo	13
Aljoš	5
Aljoša	1803
Allan	9
Allen	18
Alli	11
Almas	5
Almaz	11
Almedin	118
Almer	-
Almin	196
Almir	720
Alois	9
Alojz	7017
Alojz Andrej	5
Alojz Franc	-
Alojz Ivan	5
Alojz Janez	-
Alojz Marjan	-
Alojz Slavko	20
Alojz Stanislav	-
Alojzij	2714
Alojzij Anton	7
Alojzij Franc	6
Alojzij Janez	-
Alojzij Slavko	16
Alojzij Stanislav	5
Alojzija	-
Alojzije	26
Altin	50
Alton	5
Alush	11
Aluš	-
Alvaro	-
Alvedin	11
Alvin	23
Alvir	7
Alvis	-
Aly	5
Amadei	7
Amadej	644
Amadeo	13
Amadeus	6
Amal	12
Aman	14
Amar	405
Ambrož	422
Amdija	-
Amedej	5
Amedeo	-
Amel	372
Amer	108
Amet	11
Amil	52
Amin	58
Amir	870
Amit	10
Ammar	93
Amon	13
Amor	7
Amos	7
Amrush	5
Amsal	5
An	30
Anadin	6
Anai	14
Anaj	17
Anan	20
Anastas	5
Anastazij	7
Anatolii	10
Anatoliy	11
Anatoly	7
Anche	6
Anče	-
Andi	107
Andjelko	31
Andjelo	5
Andon	-
Andor	6
Andraž	3060
Andre	17
Andrea	91
Andreas	93
Andrei	34
Andrej	16668
Andrej Franc	6
Andrej Ivan	-
Andrej Janez	9
Andrej Martin	8
Andrej Stanislav	-
Andreja	6
Andrejas	16
Andrejček	15
Andres	10
Andrew	6
Andrey	61
Andrii	24
Andrija	221
Andrijan	9
Andriy	19
Andro	33
Andrzej	-
André	5
András	5
Andy	19
Anei	14
Anej	2089
Anel	399
Anes	222
Aney	7
Angel	135
Angelcho	10
Angelko	-
Angelo	36
Angjelko	-
Anid	15
Anik	6
Anil	5
Anin	6
Anis	104
Antal	10
Ante	170
Anthony	5
Anto	237
Anton	16736
Anton Alojz	7
Anton Alojzij	-
